班级id,正确的班级名
13292082,数学A+（4星）婷妈-思文Q0700班
13141027,数学A+（4星）婷妈-明佳Q0700班
13292080,数学A+（4星）婷妈-欣成Q0700班
13292094,数学A+（4星）婷妈-广宇Q0700班
13141009,数学A+（4星）婷妈-倪艳Q0700班
13292088,数学A+（4星）婷妈-晨辉Q0700班
13275432,数学A+（4星）婷妈-郑雯H0700班
13202043,数学A+（4星）婷妈-张艳H0700班
13275680,数学A+（4星）婷妈-忆诺H0702班
13275655,数学A+（4星）婷妈-玥霞H0701班
13275762,数学A+（4星）婷妈-周媛H0700班
13275764,数学A+（4星）婷妈-周媛H0702班
13275610,数学A+（4星）婷妈-文彬H0701班
13275611,数学A+（4星）婷妈-文彬H0702班
13168043,数学A+（4星）婷妈-倪艳H0701班
13275448,数学A+（4星）婷妈-欣成H0701班
13275420,数学A+（4星）婷妈-晨阳H0700班
13275422,数学A+（4星）婷妈-晨阳H0702班
13275516,数学A+（4星）婷妈-沫君H0700班
13275517,数学A+（4星）婷妈-沫君H0701班
13275473,数学A+（4星）婷妈-晨辉H0702班
13275763,数学A+（4星）婷妈-周媛H0701班
13275543,数学A+（4星）婷妈-璐瑶H0700班
13168042,数学A+（4星）婷妈-倪艳H0700班
13275449,数学A+（4星）婷妈-欣成H0702班
13275518,数学A+（4星）婷妈-沫君H0702班
13293765,数学A+（4星）婷妈-金洪H0700班
13204127,数学A+（4星）婷妈-赵纪委H0700班
13275735,数学A+（4星）婷妈-正仪H0700班
13275736,数学A+（4星）婷妈-正仪H0701班
13275737,数学A+（4星）婷妈-正仪H0702班
13275797,数学A+（4星）婷妈-西茹H0701班
13275798,数学A+（4星）婷妈-西茹H0702班
13275679,数学A+（4星）婷妈-忆诺H0701班
13275707,数学A+（4星）婷妈-朱召培H0702班
13275491,数学A+（4星）婷妈-广宇H0702班
13168044,数学A+（4星）婷妈-明佳H0700班
13275447,数学A+（4星）婷妈-欣成H0700班
13227989,数学A+（4星）婷妈-秋悦H0701班
13248494,数学A+（4星）婷妈-沫君Q0701班
13248447,数学A+（4星）婷妈-晨辉Q0702班
13248556,数学A+（4星）婷妈-韩蕾Q0700班
13201632,数学A+（4星）婷妈-许妍Q0700班
13201619,数学A+（4星）婷妈-张艳Q0701班
13248721,数学A+（4星）婷妈-正仪Q0700班
13248722,数学A+（4星）婷妈-正仪Q0701班
13248785,数学A+（4星）婷妈-西茹Q0700班
13248786,数学A+（4星）婷妈-西茹Q0701班
13248661,数学A+（4星）婷妈-忆诺Q0700班
13248662,数学A+（4星）婷妈-忆诺Q0701班
13248466,数学A+（4星）婷妈-广宇Q0700班
13248467,数学A+（4星）婷妈-广宇Q0701班
13248589,数学A+（4星）婷妈-文彬Q0700班
13248590,数学A+（4星）婷妈-文彬Q0701班
13248591,数学A+（4星）婷妈-文彬Q0702班
13132914,数学A+（4星）婷妈-倪艳Q0701班
13248423,数学A+（4星）婷妈-欣成Q0702班
13248427,数学A+（4星）婷妈-思文Q0700班
13248392,数学A+（4星）婷妈-晨阳Q0701班
13248495,数学A+（4星）婷妈-沫君Q0702班
13248608,数学A+（4星）婷妈-欢清Q0701班
13248609,数学A+（4星）婷妈-欢清Q0702班
13248446,数学A+（4星）婷妈-晨辉Q0701班
13248407,数学A+（4星）婷妈-郑雯Q0701班
13139909,数学A+（4星）婷妈-淑雅Q0701班
13246154,数学A+（4星）婷妈-淑雅Q0702班
13246252,数学A+（4星）婷妈-赵纪委Q0702班
13227984,数学A+（4星）婷妈-秋悦Q0700班
13248787,数学A+（4星）婷妈-西茹Q0702班
13248691,数学A+（4星）婷妈-朱召培Q0700班
13248634,数学A+（4星）婷妈-玥霞Q0700班
13248635,数学A+（4星）婷妈-玥霞Q0701班
13248636,数学A+（4星）婷妈-玥霞Q0702班
13248751,数学A+（4星）婷妈-周媛Q0700班
13248752,数学A+（4星）婷妈-周媛Q0701班
13248523,数学A+（4星）婷妈-璐瑶Q0700班
13248524,数学A+（4星）婷妈-璐瑶Q0701班
13248468,数学A+（4星）婷妈-广宇Q0702班
13132913,数学A+（4星）婷妈-倪艳Q0700班
13132953,数学A+（4星）婷妈-明佳Q0700班
13246117,数学A+（4星）婷妈-明佳Q0702班
13248421,数学A+（4星）婷妈-欣成Q0700班
13248422,数学A+（4星）婷妈-欣成Q0701班
13248428,数学A+（4星）婷妈-思文Q0701班
13248429,数学A+（4星）婷妈-思文Q0702班
13248391,数学A+（4星）婷妈-晨阳Q0700班
13248493,数学A+（4星）婷妈-沫君Q0700班
13248607,数学A+（4星）婷妈-欢清Q0700班
13292639,数学A+（4星）婷妈-金洪Q0700班
13292640,数学A+（4星）婷妈-金洪Q0701班
13292641,数学A+（4星）婷妈-金洪Q0702班
13248445,数学A+（4星）婷妈-晨辉Q0700班
13248557,数学A+（4星）婷妈-韩蕾Q0701班
13248406,数学A+（4星）婷妈-郑雯Q0700班
13248408,数学A+（4星）婷妈-郑雯Q0702班
13139908,数学A+（4星）婷妈-淑雅Q0700班
13246230,数学A+（4星）婷妈-许妍Q0702班
13204097,数学A+（4星）婷妈-赵纪委Q0700班
13204098,数学A+（4星）婷妈-赵纪委Q0701班
13246225,数学A+（4星）婷妈-张艳Q0702班
13246316,数学A+（4星）婷妈-秋悦Q0702班
13248723,数学A+（4星）婷妈-正仪Q0702班
13248663,数学A+（4星）婷妈-忆诺Q0702班
13248692,数学A+（4星）婷妈-朱召培Q0701班
13248693,数学A+（4星）婷妈-朱召培Q0702班
13248525,数学A+（4星）婷妈-璐瑶Q0702班
13246101,数学A+（4星）婷妈-倪艳Q0702班
13132954,数学A+（4星）婷妈-明佳Q0701班
13248393,数学A+（4星）婷妈-晨阳Q0702班
13248558,数学A+（4星）婷妈-韩蕾Q0702班
13201633,数学A+（4星）婷妈-许妍Q0701班
13201618,数学A+（4星）婷妈-张艳Q0700班
13227985,数学A+（4星）婷妈-秋悦Q0701班
13248753,数学A+（4星）婷妈-周媛Q0702班
13302219,数学A+（4星）婷妈-启东Q0700班
13140644,语文A+（4星）微微-灵鸽Q0800班
13140636,语文A+（4星）微微-志函Q0800班
13165965,语文A+（4星）微微-周周H0800班
13165966,语文A+（4星）微微-周周H0801班
13165986,语文A+（4星）微微-周周H0804班
13276817,语文A+（4星）微微-贺欣H0801班
13165938,语文A+（4星）微微-志函H0800班
13165967,语文A+（4星）微微-周周H0802班
13165970,语文A+（4星）微微-李鑫H0801班
13165960,语文A+（4星）微微-灵鸽H0800班
13165961,语文A+（4星）微微-灵鸽H0801班
13165962,语文A+（4星）微微-灵鸽H0802班
13165985,语文A+（4星）微微-灵鸽H0805班
13276816,语文A+（4星）微微-贺欣H0800班
13293711,语文A+（4星）微微老师-贺欣H0803班
13165939,语文A+（4星）微微-志函H0801班
13165940,语文A+（4星）微微-志函H0802班
13165980,语文A+（4星）微微-志函H0805班
13165969,语文A+（4星）微微-李鑫H0800班
13276818,语文A+（4星）微微-贺欣H0802班
13129669,语文A+（4星）微微-周周Q0801班
13127806,语文A+（4星）微微-灵鸽Q0800班
13127807,语文A+（4星）微微-灵鸽Q0801班
13129181,语文A+（4星）微微-灵鸽Q0802班
13274057,语文A+（4星）微微-贺欣Q0800班
13127792,语文A+（4星）微微-志函Q0801班
13129034,语文A+（4星）微微-志函Q0802班
13128944,语文A+（4星）微微-李鑫Q0800班
13298794,语文A+（4星）微微老师-灵鸽Q0803班
13274058,语文A+（4星）微微-贺欣Q0801班
13127814,语文A+（4星）微微-周周Q0800班
13130320,语文A+（4星）微微-周周Q0802班
13274059,语文A+（4星）微微-贺欣Q0802班
13127791,语文A+（4星）微微-志函Q0800班
13140589,语文A+（4星）海莉-正月Q0800班
13140656,语文A+（4星）海莉-路月Q0800班
13140605,语文A+（4星）海莉-亚灵Q0800班
13140608,语文A+（4星）海莉-宣杰Q0800班
13165998,语文A+（4星）海莉-小燕H0800班
13165989,语文A+（4星）海莉-正月H0800班
13166022,语文A+（4星）海莉-昱彤H0802班
13166024,语文A+（4星）海莉-姣姣H0800班
13165993,语文A+（4星）海莉-路月H0800班
13165999,语文A+（4星）海莉-小燕H0801班
13165990,语文A+（4星）海莉-正月H0801班
13166044,语文A+（4星）海莉-正月H0804班
13166020,语文A+（4星）海莉-昱彤H0800班
13166025,语文A+（4星）海莉-姣姣H0801班
13166012,语文A+（4星）海莉-紫婷H0800班
13166014,语文A+（4星）海莉-紫婷H0802班
13165994,语文A+（4星）海莉-路月H0801班
13166000,语文A+（4星）海莉-小燕H0802班
13192487,语文A+（4星）海莉-小燕H0807班
13166029,语文A+（4星）海莉-温涓H0800班
13165991,语文A+（4星）海莉-正月H0802班
13166021,语文A+（4星）海莉-昱彤H0801班
13166026,语文A+（4星）海莉-姣姣H0802班
13166013,语文A+（4星）海莉-紫婷H0801班
13165996,语文A+（4星）海莉-路月H0803班
13166045,语文A+（4星）海莉-路月H0805班
13166030,语文A+（4星）海莉-温涓H0801班
13165995,语文A+（4星）海莉-路月H0802班
13166076,语文A+（4星）海莉-柳柳H0800班
13166064,语文A+（4星）海莉-亚灵H0800班
13166111,语文A+（4星）海莉-亚灵H0804班
13166062,语文A+（4星）海莉-宣杰H0802班
13276889,语文A+（4星）海莉-路月H0804班
13166077,语文A+（4星）海莉-柳柳H0801班
13166066,语文A+（4星）海莉-亚灵H0802班
13166063,语文A+（4星）海莉-宣杰H0803班
13276880,语文A+（4星）海莉-柳柳H0803班
13166065,语文A+（4星）海莉-亚灵H0801班
13166060,语文A+（4星）海莉-宣杰H0800班
13166061,语文A+（4星）海莉-宣杰H0801班
13166057,语文A+（4星）海莉-王强H0801班
13166068,语文A+（4星）海莉-路月H0800班
13166069,语文A+（4星）海莉-路月H0801班
13166056,语文A+（4星）海莉-王强H0800班
13166070,语文A+（4星）海莉-路月H0802班
13127504,语文A+（4星）海莉-温涓Q0800班
13127691,语文A+（4星）海莉-正月Q0800班
13127692,语文A+（4星）海莉-正月Q0801班
13127757,语文A+（4星）海莉-昱彤Q0800班
13130247,语文A+（4星）海莉-紫婷Q0802班
13127793,语文A+（4星）海莉-小燕Q0800班
13128939,语文A+（4星）海莉-小燕Q0801班
13130254,语文A+（4星）海莉-正月Q0802班
13127758,语文A+（4星）海莉-昱彤Q0801班
13127684,语文A+（4星）海莉-姣姣Q0800班
13127777,语文A+（4星）海莉-姣姣Q0801班
13129035,语文A+（4星）海莉-姣姣Q0802班
13127678,语文A+（4星）海莉-紫婷Q0800班
13129662,语文A+（4星）海莉-温涓Q0801班
13274197,语文A+（4星）海莉-温涓Q0802班
13130287,语文A+（4星）海莉-昱彤Q0802班
13127679,语文A+（4星）海莉-紫婷Q0801班
13127474,语文A+（4星）海莉-路月Q0800班
13127513,语文A+（4星）海莉-路月Q0801班
13130308,语文A+（4星）海莉-小燕Q0802班
13128931,语文A+（4星）海莉-路月Q0802班
13274199,语文A+（4星）海莉-柳柳Q0802班
13127731,语文A+（4星）海莉-亚灵Q0800班
13127739,语文A+（4星）海莉-柳柳Q0800班
13127732,语文A+（4星）海莉-亚灵Q0801班
13131231,语文A+（4星）海莉-宣杰Q0803班
13129362,语文A+（4星）海莉-王强Q0801班
13127832,语文A+（4星）海莉-路月Q0800班
13127833,语文A+（4星）海莉-路月Q0801班
13274268,语文A+（4星）海莉-路月Q0803班
13130275,语文A+（4星）海莉-亚灵Q0802班
13127735,语文A+（4星）海莉-宣杰Q0800班
13127736,语文A+（4星）海莉-宣杰Q0801班
13130278,语文A+（4星）海莉-宣杰Q0802班
13129361,语文A+（4星）海莉-王强Q0800班
13127740,语文A+（4星）海莉-柳柳Q0801班
13130329,语文A+（4星）海莉-路月Q0802班
13140548,数学A+（4星）西西-刘鑫Q0700班
13140541,数学A+（4星）西西-晨辉Q0700班
13140573,数学A+（4星）西西-可昕Q0700班
13140545,数学A+（4星）西西-陈垚Q0700班
13140925,数学A+（4星）西西-郭瑛Q0700班
13165087,数学A+（4星）西西-晨辉H0701班
13165077,数学A+（4星）西西-可昕H0701班
13165078,数学A+（4星）西西-可昕H0702班
13192038,数学A+（4星）西西-可昕H0708班
13165096,数学A+（4星）西西-安琪H0700班
13165110,数学A+（4星）西西-梦婷H0701班
13165111,数学A+（4星）西西-梦婷H0702班
13165116,数学A+（4星）西西-付鑫H0702班
13165092,数学A+（4星）西西-刘鑫H0701班
13276861,数学A+（4星）西西-刘鑫H0704班
13165124,数学A+（4星）西西-郭瑛H0706班
13165086,数学A+（4星）西西-晨辉H0700班
13165125,数学A+（4星）西西-侯洁H0705班
13165097,数学A+（4星）西西-安琪H0701班
13165098,数学A+（4星）西西-安琪H0702班
13165109,数学A+（4星）西西-梦婷H0700班
13276866,数学A+（4星）西西-梦婷H0704班
13165101,数学A+（4星）西西-李雪H0700班
13165103,数学A+（4星）西西-李雪H0702班
13193795,数学A+（4星）西西-付鑫H0707班
13165091,数学A+（4星）西西-刘鑫H0700班
13165081,数学A+（4星）西西-陈垚H0700班
13165083,数学A+（4星）西西-陈垚H0702班
13165076,数学A+（4星）西西-可昕H0700班
13165118,数学A+（4星）西西-侯洁H0700班
13165119,数学A+（4星）西西-侯洁H0701班
13165120,数学A+（4星）西西-侯洁H0702班
13165102,数学A+（4星）西西-李雪H0701班
13165114,数学A+（4星）西西-付鑫H0700班
13165115,数学A+（4星）西西-付鑫H0701班
13276867,数学A+（4星）西西-付鑫H0705班
13165093,数学A+（4星）西西-刘鑫H0702班
13165105,数学A+（4星）西西-郭瑛H0700班
13165106,数学A+（4星）西西-郭瑛H0701班
13165107,数学A+（4星）西西-郭瑛H0702班
13165082,数学A+（4星）西西-陈垚H0701班
13165088,数学A+（4星）西西-晨辉H0702班
13165089,数学A+（4星）西西-晨辉H0703班
13276865,数学A+（4星）西西-可昕H0705班
13165123,数学A+（4星）西西-郭瑛H0705班
13130203,数学A+（4星）西西-晨辉Q0703班
13127661,数学A+（4星）西西-可昕Q0700班
13127644,数学A+（4星）西西-侯洁Q0701班
13127632,数学A+（4星）西西-李雪Q0701班
13128669,数学A+（4星）西西-郭瑛Q0705班
13129014,数学A+（4星）西西-郭瑛Q0701班
13127597,数学A+（4星）西西-晨辉Q0700班
13128907,数学A+（4星）西西-晨辉Q0702班
13129603,数学A+（4星）西西-侯洁Q0702班
13127651,数学A+（4星）西西-安琪Q0700班
13127652,数学A+（4星）西西-安琪Q0701班
13128158,数学A+（4星）西西-梦婷Q0700班
13128159,数学A+（4星）西西-梦婷Q0701班
13274185,数学A+（4星）西西-梦婷Q0703班
13127605,数学A+（4星）西西-陈垚Q0700班
13274179,数学A+（4星）西西-陈垚Q0703班
13127662,数学A+（4星）西西-可昕Q0701班
13129523,数学A+（4星）西西-可昕Q0702班
13274184,数学A+（4星）西西-可昕Q0703班
13127643,数学A+（4星）西西-侯洁Q0700班
13130699,数学A+（4星）西西-侯洁Q0704班
13129525,数学A+（4星）西西-安琪Q0702班
13129125,数学A+（4星）西西-梦婷Q0702班
13127631,数学A+（4星）西西-李雪Q0700班
13128514,数学A+（4星）西西-付鑫Q0700班
13128904,数学A+（4星）西西-付鑫Q0701班
13130625,数学A+（4星）西西-付鑫Q0702班
13274186,数学A+（4星）西西-付鑫Q0703班
13127611,数学A+（4星）西西-刘鑫Q0700班
13127612,数学A+（4星）西西-刘鑫Q0701班
13274180,数学A+（4星）西西-刘鑫Q0703班
13128668,数学A+（4星）西西-郭瑛Q0704班
13130721,数学A+（4星）西西-郭瑛Q0702班
13129134,数学A+（4星）西西-陈垚Q0702班
13127598,数学A+（4星）西西-晨辉Q0701班
13130222,数学A+（4星）西西-李雪Q0702班
13129524,数学A+（4星）西西-刘鑫Q0702班
13128909,数学A+（4星）西西-郭瑛Q0700班
13128908,数学A+（4星）西西-陈垚Q0701班
13140192,数学A+（4星）爽仔-陈浩Q0900班
13162945,数学A+（4星）爽仔-喜园H0900班
13162946,数学A+（4星）爽仔-喜园H0901班
13162919,数学A+（4星）爽仔-马守源H0910班
13162924,数学A+（4星）爽仔-陈浩H0902班
13162927,数学A+（4星）爽仔-思雨H0901班
13162928,数学A+（4星）爽仔-思雨H0902班
13162941,数学A+（4星）爽仔-王岗H0901班
13162942,数学A+（4星）爽仔-王岗H0902班
13162947,数学A+（4星）爽仔-喜园H0902班
13162935,数学A+（4星）爽仔-马守源H0900班
13162936,数学A+（4星）爽仔-马守源H0901班
13162922,数学A+（4星）爽仔-陈浩H0900班
13162926,数学A+（4星）爽仔-思雨H0900班
13162940,数学A+（4星）爽仔-王岗H0900班
13162920,数学A+（4星）爽仔-马守源H0909班
13162923,数学A+（4星）爽仔-陈浩H0901班
13162937,数学A+（4星）爽仔-马守源H0902班
13128693,数学A+（4星）爽仔-思雨Q0902班
13126782,数学A+（4星）爽仔-马守源Q0900班
13126783,数学A+（4星）爽仔-马守源Q0901班
13128692,数学A+（4星）爽仔-思雨Q0901班
13126786,数学A+（4星）爽仔-陈浩Q0900班
13126787,数学A+（4星）爽仔-陈浩Q0901班
13129775,数学A+（4星）爽仔-陈浩Q0902班
13128691,数学A+（4星）爽仔-思雨Q0900班
13128216,数学A+（4星）爽仔-王岗Q0900班
13128217,数学A+（4星）爽仔-王岗Q0901班
13129339,数学A+（4星）爽仔-喜园Q0901班
13126785,数学A+（4星）爽仔-马守源Q0902班
13128353,数学A+（4星）爽仔-喜园Q0900班
13141181,数学A+（4星）吴峥-慧茹Q0700班
13292122,数学A+（4星）吴峥-雅静Q0700班
13275686,数学A+（4星）吴峥-海涛H0702班
13275604,数学A+（4星）吴峥-李彤H0701班
13275754,数学A+（4星）吴峥-涵超H0701班
13275684,数学A+（4星）吴峥-海涛H0700班
13274336,数学A+（4星）吴峥-慧茹H0703班
13275573,数学A+（4星）吴峥-雅静H0700班
13275632,数学A+（4星）吴峥-品楠H0702班
13275712,数学A+（4星）吴峥-鑫迪H0701班
13275815,数学A+（4星）吴峥-肖影H0701班
13275603,数学A+（4星）吴峥-李彤H0700班
13274480,数学A+（4星）吴峥-吴雯H0702班
13138043,数学A+（4星）吴峥-慧茹Q0700班
13246148,数学A+（4星）吴峥-慧茹Q0702班
13248698,数学A+（4星）吴峥-鑫迪Q0701班
13248769,数学A+（4星）吴峥-张璇Q0700班
13246196,数学A+（4星）吴峥-欣欣Q0702班
13138044,数学A+（4星）吴峥-慧茹Q0701班
13248584,数学A+（4星）吴峥-李彤Q0701班
13248554,数学A+（4星）吴峥-雅静Q0701班
13248611,数学A+（4星）吴峥-品楠Q0701班
13248739,数学A+（4星）吴峥-涵超Q0700班
13248741,数学A+（4星）吴峥-涵超Q0702班
13248699,数学A+（4星）吴峥-鑫迪Q0702班
13248770,数学A+（4星）吴峥-张璇Q0701班
13248803,数学A+（4星）吴峥-肖影Q0700班
13248804,数学A+（4星）吴峥-肖影Q0701班
13227350,数学A+（4星）吴峥-吴雯Q0700班
13246303,数学A+（4星）吴峥-吴雯Q0702班
13248667,数学A+（4星）吴峥-海涛Q0700班
13248668,数学A+（4星）吴峥-海涛Q0701班
13194084,数学A+（4星）吴峥-欣欣Q0701班
13248583,数学A+（4星）吴峥-李彤Q0700班
13248553,数学A+（4星）吴峥-雅静Q0700班
13248555,数学A+（4星）吴峥-雅静Q0702班
13248610,数学A+（4星）吴峥-品楠Q0700班
13248612,数学A+（4星）吴峥-品楠Q0702班
13248740,数学A+（4星）吴峥-涵超Q0701班
13248697,数学A+（4星）吴峥-鑫迪Q0700班
13248805,数学A+（4星）吴峥-肖影Q0702班
13248669,数学A+（4星）吴峥-海涛Q0702班
13248585,数学A+（4星）吴峥-李彤Q0702班
13248771,数学A+（4星）吴峥-张璇Q0702班
13227351,数学A+（4星）吴峥-吴雯Q0701班
13194083,数学A+（4星）吴峥-欣欣Q0700班
